text,id,label
【运用】八珍汤为治疗气血两虚之基础方。以气短乏力，头晕心悸，舌淡，脉细弱为辨证要点。临证时，当视气血虚损程度，相应调配 君药与用量。若气虚偏重者，加大人参、白术用量以之为君；若血虚偏重者，加大熟地黄用量以之为君。,1142715,"[{'start': 4, 'end': 7, 'text': '八珍汤', 'labels': ['方剂名']}, {'start': 10, 'end': 14, 'text': '气血两虚', 'labels': ['主治']}, {'start': 20, 'end': 24, 'text': '气短乏力', 'labels': ['主治']}, {'start': 25, 'end': 29, 'text': '头晕心悸', 'labels': ['主治']}, {'start': 30, 'end': 32, 'text': '舌淡', 'labels': ['主治']}, {'start': 33, 'end': 36, 'text': '脉细弱', 'labels': ['主治']}, {'start': 75, 'end': 77, 'text': '人参', 'labels': ['组成']}, {'start': 78, 'end': 80, 'text': '白术', 'labels': ['组成']}, {'start': 88, 'end': 90, 'text': '血虚', 'labels': ['主治']}, {'start': 67, 'end': 69, 'text': '气虚', 'labels': ['主治']}, {'start': 96, 'end': 99, 'text': '熟地黄', 'labels': ['组成']}, {'start': 48, 'end': 51, 'text': '气血虚', 'labels': ['主治']}]"
保元汤加入黄芪、肉桂，去白术、茯苓，纯补无泻，温补阳气之功著，适用于虚损劳怯、元气不足证。,1142618,"[{'start': 0, 'end': 3, 'text': '保元汤', 'labels': ['方剂名']}, {'start': 5, 'end': 7, 'text': '黄芪', 'labels': ['组成']}, {'start': 8, 'end': 10, 'text': '肉桂', 'labels': ['组成']}, {'start': 12, 'end': 14, 'text': '白术', 'labels': ['组成']}, {'start': 15, 'end': 17, 'text': '茯苓', 'labels': ['组成']}, {'start': 23, 'end': 27, 'text': '温补阳气', 'labels': ['功用']}, {'start': 34, 'end': 38, 'text': '虚损劳怯', 'labels': ['主治']}, {'start': 39, 'end': 44, 'text': '元气不足证', 'labels': ['主治']}]"
【方解】炙甘草汤中重用生地黄为君药，滋阴养血。臣以炙甘草益气养心；麦门冬滋养心阴；,1142719,"[{'start': 4, 'end': 7, 'text': '炙甘草', 'labels': ['组成']}, {'start': 4, 'end': 8, 'text': '炙甘草汤', 'labels': ['方剂名']}, {'start': 11, 'end': 14, 'text': '生地黄', 'labels': ['组成']}, {'start': 18, 'end': 22, 'text': '滋阴养血', 'labels': ['功用']}, {'start': 25, 'end': 28, 'text': '炙甘草', 'labels': ['组成']}, {'start': 28, 'end': 32, 'text': '益气养心', 'labels': ['功用']}, {'start': 33, 'end': 36, 'text': '麦门冬', 'labels': ['组成']}, {'start': 36, 'end': 40, 'text': '滋养心阴', 'labels': ['功用']}]"
【医案举例】 徐，二十六岁，二月初十日。酒客脉弦细而沉，喘满短气，胁连腰痛，有汗，舌白滑而厚，恶风寒，倚息不得卧，此系里水招外风为病，,1141794,"[{'start': 22, 'end': 27, 'text': '脉弦细而沉', 'labels': ['主治']}, {'start': 28, 'end': 32, 'text': '喘满短气', 'labels': ['主治']}, {'start': 33, 'end': 37, 'text': '胁连腰痛', 'labels': ['主治']}, {'start': 38, 'end': 40, 'text': '有汗', 'labels': ['主治']}, {'start': 41, 'end': 46, 'text': '舌白滑而厚', 'labels': ['主治']}, {'start': 47, 'end': 50, 'text': '恶风寒', 'labels': ['主治']}]"
【配伍特点】纯用辛甘，温补兼施，以温为主。,1142481,
四药皆为甘温和缓之品，而呈君子中和之气，故以“君子”为名。四药合力，重在健补脾胃之气，兼司运化之职，且渗利湿浊，共成益气健脾之功。,1142611,"[{'start': 36, 'end': 42, 'text': '健补脾胃之气', 'labels': ['功用']}, {'start': 51, 'end': 55, 'text': '渗利湿浊', 'labels': ['功用']}, {'start': 58, 'end': 62, 'text': '益气健脾', 'labels': ['功用']}]"
风寒在表，宜用发散之药祛邪于外；气郁于里，当用理气之品解郁于内，故治法以解表与理气并行。,1141762,
【方解】苏合香丸中苏合香、麝香、龙脑香（冰片）、安息香芳香开窍，启闭醒神，辟秽化浊，共为君药。香附理气解郁；青木香行气止痛；,1143026,"[{'start': 4, 'end': 8, 'text': '苏合香丸', 'labels': ['方剂名']}, {'start': 4, 'end': 7, 'text': '苏合香', 'labels': ['组成']}, {'start': 9, 'end': 12, 'text': '苏合香', 'labels': ['组成']}, {'start': 13, 'end': 15, 'text': '麝香', 'labels': ['组成']}, {'start': 16, 'end': 19, 'text': '龙脑香', 'labels': ['组成']}, {'start': 20, 'end': 22, 'text': '冰片', 'labels': ['组成']}, {'start': 24, 'end': 27, 'text': '安息香', 'labels': ['组成']}, {'start': 29, 'end': 31, 'text': '开窍', 'labels': ['功用']}, {'start': 32, 'end': 36, 'text': '启闭醒神', 'labels': ['功用']}, {'start': 47, 'end': 49, 'text': '香附', 'labels': ['组成']}, {'start': 49, 'end': 53, 'text': '理气解郁', 'labels': ['功用']}, {'start': 54, 'end': 57, 'text': '青木香', 'labels': ['组成']}, {'start': 57, 'end': 61, 'text': '行气止痛', 'labels': ['功用']}]"
【鉴别】本方与青蒿鳖甲汤、清骨散同治阴虚发热。但青蒿鳖甲汤以青蒿、鳖甲“先入后出”，配伍生地、知母，是养阴与透热并进，治热病伤阴、邪伏阴分之证；,1142370,"[{'start': 7, 'end': 12, 'text': '青蒿鳖甲汤', 'labels': ['方剂名']}, {'start': 7, 'end': 9, 'text': '青蒿', 'labels': ['组成']}, {'start': 9, 'end': 11, 'text': '鳖甲', 'labels': ['组成']}, {'start': 13, 'end': 16, 'text': '清骨散', 'labels': ['方剂名']}, {'start': 18, 'end': 22, 'text': '阴虚发热', 'labels': ['主治']}, {'start': 24, 'end': 29, 'text': '青蒿鳖甲汤', 'labels': ['方剂名']}, {'start': 24, 'end': 26, 'text': '青蒿', 'labels': ['组成']}, {'start': 26, 'end': 28, 'text': '鳖甲', 'labels': ['组成']}, {'start': 30, 'end': 32, 'text': '青蒿', 'labels': ['组成']}, {'start': 33, 'end': 35, 'text': '鳖甲', 'labels': ['组成']}, {'start': 44, 'end': 46, 'text': '生地', 'labels': ['组成']}, {'start': 47, 'end': 49, 'text': '知母', 'labels': ['组成']}, {'start': 51, 'end': 53, 'text': '养阴', 'labels': ['功用']}, {'start': 54, 'end': 56, 'text': '透热', 'labels': ['功用']}, {'start': 59, 'end': 62, 'text': '治热病', 'labels': ['功用']}, {'start': 60, 'end': 62, 'text': '热病', 'labels': ['功用']}]"
干姜、生姜温脾暖胃，助草蔻散寒止痛；茯苓渗湿健脾，均为佐药。炙甘草益气和中，调和诸药，功兼佐使。诸药合用，共奏行气除满，温中燥湿之功。,1143100,"[{'start': 0, 'end': 2, 'text': '干姜', 'labels': ['组成']}, {'start': 3, 'end': 5, 'text': '生姜', 'labels': ['组成']}, {'start': 5, 'end': 9, 'text': '温脾暖胃', 'labels': ['功用']}, {'start': 11, 'end': 13, 'text': '草蔻', 'labels': ['组成']}, {'start': 13, 'end': 17, 'text': '散寒止痛', 'labels': ['功用']}, {'start': 18, 'end': 20, 'text': '茯苓', 'labels': ['组成']}, {'start': 20, 'end': 24, 'text': '渗湿健脾', 'labels': ['功用']}, {'start': 30, 'end': 33, 'text': '炙甘草', 'labels': ['组成']}, {'start': 33, 'end': 37, 'text': '益气和中', 'labels': ['功用']}, {'start': 55, 'end': 59, 'text': '行气除满', 'labels': ['功用']}, {'start': 60, 'end': 64, 'text': '温中燥湿', 'labels': ['功用']}]"
【方歌】  旋覆代赭用人参，半夏甘姜大枣临， ,1143154,"[{'start': 11, 'end': 13, 'text': '人参', 'labels': ['组成']}, {'start': 14, 'end': 16, 'text': '半夏', 'labels': ['组成']}, {'start': 19, 'end': 20, 'text': '枣', 'labels': ['组成']}]"
【鉴别】朱砂安神丸与生铁落饮均有重镇安神之功，主治心神不安证。然朱砂安神丸以重镇安神之朱砂与清心养阴药配伍组方，适用于心火上炎、灼伤阴血之心烦不安、失眠诸证；,1142917,"[{'start': 4, 'end': 9, 'text': '朱砂安神丸', 'labels': ['方剂名']}, {'start': 4, 'end': 6, 'text': '朱砂', 'labels': ['组成']}, {'start': 10, 'end': 14, 'text': '生铁落饮', 'labels': ['方剂名']}, {'start': 16, 'end': 20, 'text': '重镇安神', 'labels': ['功用']}, {'start': 25, 'end': 29, 'text': '心神不安', 'labels': ['主治']}, {'start': 32, 'end': 34, 'text': '朱砂', 'labels': ['组成']}, {'start': 32, 'end': 37, 'text': '朱砂安神丸', 'labels': ['运用']}, {'start': 38, 'end': 42, 'text': '重镇安神', 'labels': ['功用']}, {'start': 43, 'end': 45, 'text': '朱砂', 'labels': ['组成']}, {'start': 46, 'end': 50, 'text': '清心养阴', 'labels': ['功用']}, {'start': 59, 'end': 63, 'text': '心火上炎', 'labels': ['主治']}, {'start': 64, 'end': 68, 'text': '灼伤阴血', 'labels': ['主治']}, {'start': 69, 'end': 73, 'text': '心烦不安', 'labels': ['主治']}, {'start': 74, 'end': 76, 'text': '失眠', 'labels': ['主治']}]"
【方解】当归补血汤重用黄芪，取其量大力宏，补气固表，以急固浮阳 而使热退，且补气又助生血，使阳生阴长，气旺血生，故以之为君。,1142688,"[{'start': 4, 'end': 6, 'text': '当归', 'labels': ['组成']}, {'start': 4, 'end': 9, 'text': '当归补血汤', 'labels': ['方剂名']}, {'start': 6, 'end': 8, 'text': '补血', 'labels': ['功用']}, {'start': 11, 'end': 13, 'text': '黄芪', 'labels': ['组成']}, {'start': 38, 'end': 40, 'text': '补气', 'labels': ['功用']}, {'start': 42, 'end': 44, 'text': '生血', 'labels': ['功用']}]"
桂枝加葛根汤主治外感风寒，太阳经气不舒，津液不能敷布，经脉失去濡养之恶风汗出、项背强而不舒，故用桂枝汤加葛根以解肌发表，生津舒筋。 ,1141741,"[{'start': 0, 'end': 6, 'text': '桂枝加葛根汤', 'labels': ['方剂名']}, {'start': 8, 'end': 12, 'text': '外感风寒', 'labels': ['主治']}, {'start': 13, 'end': 19, 'text': '太阳经气不舒', 'labels': ['主治']}, {'start': 34, 'end': 38, 'text': '恶风汗出', 'labels': ['主治']}, {'start': 39, 'end': 45, 'text': '项背强而不舒', 'labels': ['主治']}, {'start': 48, 'end': 51, 'text': '桂枝汤', 'labels': ['方剂名']}, {'start': 52, 'end': 54, 'text': '葛根', 'labels': ['组成']}, {'start': 55, 'end': 59, 'text': '解肌发表', 'labels': ['功用']}, {'start': 60, 'end': 64, 'text': '生津舒筋', 'labels': ['功用']}]"
【医案举例】 张氏仆病经五日，发热，脉沉微，口燥，烦躁不眠。曰：发热为阳，脉沉微为阴，少阴症似太阳也。口燥烦躁，乃邪气内扰，当用麻黄附子细辛汤，以温少阴之经，而驱内陷之邪。或以孑身安得阴症？别商瓜蒌滋解之法，症益甚。,1142505,"[{'start': 18, 'end': 21, 'text': '脉沉微', 'labels': ['主治']}, {'start': 15, 'end': 17, 'text': '发热', 'labels': ['主治']}, {'start': 22, 'end': 24, 'text': '口燥', 'labels': ['主治']}, {'start': 25, 'end': 29, 'text': '烦躁不眠', 'labels': ['主治']}, {'start': 51, 'end': 55, 'text': '口燥烦躁', 'labels': ['主治']}, {'start': 43, 'end': 46, 'text': '少阴症', 'labels': ['主治']}, {'start': 64, 'end': 66, 'text': '麻黄', 'labels': ['组成']}, {'start': 66, 'end': 68, 'text': '附子', 'labels': ['组成']}, {'start': 68, 'end': 70, 'text': '细辛', 'labels': ['组成']}, {'start': 64, 'end': 71, 'text': '麻黄附子细辛汤', 'labels': ['方剂名']}]"
饮粥后“更服”药，使药力相继。且药后“当一日食糜”，以养脾胃之气，使中虚得复。同时，药后“温覆之”，以防寒邪外侵而病复加重。,1142483,"[{'start': 27, 'end': 30, 'text': '养脾胃', 'labels': ['功用']}]"
【鉴别】黄连阿胶汤与交泰丸均有交通心肾、安神之功。但黄连阿胶汤养阴与降火并重，适用于阴虚火旺、心肾不交之失眠；而交泰丸以降心火为主，适用于心火不降、肾水不升之失眠。,1142988,"[{'start': 4, 'end': 9, 'text': '黄连阿胶汤', 'labels': ['方剂名']}, {'start': 4, 'end': 6, 'text': '黄连', 'labels': ['组成']}, {'start': 6, 'end': 8, 'text': '阿胶', 'labels': ['组成']}, {'start': 10, 'end': 13, 'text': '交泰丸', 'labels': ['方剂名']}, {'start': 15, 'end': 19, 'text': '交通心肾', 'labels': ['功用']}, {'start': 20, 'end': 22, 'text': '安神', 'labels': ['功用']}, {'start': 26, 'end': 31, 'text': '黄连阿胶汤', 'labels': ['方剂名']}, {'start': 26, 'end': 28, 'text': '黄连', 'labels': ['组成']}, {'start': 28, 'end': 30, 'text': '阿胶', 'labels': ['组成']}, {'start': 31, 'end': 33, 'text': '养阴', 'labels': ['功用']}, {'start': 34, 'end': 36, 'text': '降火', 'labels': ['功用']}, {'start': 42, 'end': 46, 'text': '阴虚火旺', 'labels': ['主治']}, {'start': 47, 'end': 51, 'text': '心肾不交', 'labels': ['主治']}, {'start': 56, 'end': 59, 'text': '交泰丸', 'labels': ['方剂名']}, {'start': 60, 'end': 63, 'text': '降心火', 'labels': ['功用']}, {'start': 79, 'end': 81, 'text': '失眠', 'labels': ['主治']}]"
【证治机理】磁朱丸原为治疗视物昏花之目疾而设。目之能视，有赖于五脏六腑精气之濡养，若肾精不足，精气不能上行荣目，加之水不济火，心阳偏亢，虚阳上扰，故视物昏花；肾开窍于耳，肾精不足则耳鸣耳聋。,1142920,"[{'start': 6, 'end': 9, 'text': '磁朱丸', 'labels': ['方剂名']}, {'start': 13, 'end': 17, 'text': '视物昏花', 'labels': ['主治']}, {'start': 18, 'end': 20, 'text': '目疾', 'labels': ['主治']}, {'start': 42, 'end': 46, 'text': '肾精不足', 'labels': ['主治']}, {'start': 85, 'end': 89, 'text': '肾精不足', 'labels': ['主治']}, {'start': 90, 'end': 94, 'text': '耳鸣耳聋', 'labels': ['主治']}, {'start': 74, 'end': 78, 'text': '视物昏花', 'labels': ['主治']}, {'start': 63, 'end': 67, 'text': '心阳偏亢', 'labels': ['主治']}, {'start': 68, 'end': 72, 'text': '虚阳上扰', 'labels': ['主治']}]"
【医案举例】 薛立斋治一妊妇，胎六月，体倦懒食，面黄晡热，而胎不长，因劳欲坠，此脾气不足也。用八珍汤倍参、术、茯苓，三十余剂，胃渐健，胎安而长矣。（《续名医类案》）,1142717,"[{'start': 19, 'end': 23, 'text': '体倦懒食', 'labels': ['主治']}, {'start': 40, 'end': 44, 'text': '脾气不足', 'labels': ['主治']}, {'start': 47, 'end': 50, 'text': '八珍汤', 'labels': ['方剂名']}, {'start': 55, 'end': 57, 'text': '茯苓', 'labels': ['组成']}]"
【配伍特点】气血并补，重在补气；心脾并调，重在宁心。 ,1142974,"[{'start': 23, 'end': 25, 'text': '宁心', 'labels': ['功用']}, {'start': 13, 'end': 15, 'text': '补气', 'labels': ['功用']}]"
【运用】 黄连解毒汤为“苦寒直折”法之代表方，清热解毒之基础方。以大热烦躁，口燥咽干，舌红苔黄，脉数有力为辨证要点。,1142205,"[{'start': 5, 'end': 10, 'text': '黄连解毒汤', 'labels': ['方剂名']}, {'start': 5, 'end': 7, 'text': '黄连', 'labels': ['组成']}, {'start': 23, 'end': 27, 'text': '清热解毒', 'labels': ['功用']}, {'start': 33, 'end': 37, 'text': '大热烦躁', 'labels': ['主治']}, {'start': 38, 'end': 42, 'text': '口燥咽干', 'labels': ['主治']}, {'start': 43, 'end': 47, 'text': '舌红苔黄', 'labels': ['主治']}, {'start': 48, 'end': 52, 'text': '脉数有力', 'labels': ['主治']}]"
见其气息奄奄，六脉沉细无力，左尺浮芤，右尺沉伏。余曰：病由肾命火衰，水泛无归，今又被妄下，肾命之火愈衰，急宜温固，遂用四神丸以温之。一剂泻止溺通，次用真武汤以回阳镇水，随用健脾补火之剂大有转机，每餐能食饭一碗。（《温病浅说·温氏医案》）,1142860,"[{'start': 59, 'end': 62, 'text': '四神丸', 'labels': ['方剂名']}, {'start': 75, 'end': 78, 'text': '真武汤', 'labels': ['方剂名']}, {'start': 86, 'end': 90, 'text': '健脾补火', 'labels': ['功用']}, {'start': 86, 'end': 92, 'text': '健脾补火之剂', 'labels': ['剂型']}]"
